tag,mentions,avg_claps,avg_readtime
Machine Learning,4040,71.56460396039604,5.4787128712871285
Python,1748,63.66533180778032,5.215675057208238
Artificial Intelligence,1714,103.47141190198366,4.921820303383897
Data Visualization,1184,37.119932432432435,5.107263513513513
Data,1077,43.84122562674095,4.558960074280408
Deep Learning,812,76.92241379310344,5.435960591133005
Covid 19,637,37.75039246467818,5.778649921507064
Data Analysis,630,44.98253968253968,5.250793650793651
Analytics,571,35.74430823117338,5.073555166374781
AI,570,52.78421052631579,5.085964912280701
Statistics,540,51.696296296296296,5.464814814814815
Big Data,464,72.94827586206897,4.941810344827586
Technology,453,148.86313465783664,5.428256070640177
Programming,421,140.95249406175773,5.239904988123516
NLP,343,54.734693877551024,5.75801749271137
Coronavirus,320,71.84375,5.728125
Data Analytics,301,27.867109634551493,4.777408637873754
Astrology,241,0.004149377593360996,0.975103734439834
Dailies,228,0.0,0.9605263157894737
Pandas,224,32.17857142857143,4.71875
Data Scientist,206,37.398058252427184,4.135922330097087
Art,201,0.9751243781094527,1.0298507462686568
Towards Data Science,173,142.6878612716763,6.07514450867052
Data Engineering,172,80.95348837209302,5.267441860465116
Neural Networks,160,86.20625,6.3875
Data Science Training,139,4.366906474820144,3.6043165467625897
R,138,32.44927536231884,5.594202898550725
Business,134,67.79850746268657,5.298507462686567
Advertising,134,1.6343283582089552,1.4850746268656716
Airbnb,131,8.541984732824428,5.206106870229007
Dating,130,1.3,1.1384615384615384
Business Intelligence,128,29.015625,4.71875
Computer Vision,125,63.864,5.624
Mathematics,119,61.411764705882355,6.042016806722689
Education,118,123.29661016949153,4.796610169491525
Software Development,117,118.03418803418803,5.504273504273504
Computer Science,117,38.1965811965812,5.905982905982906
Python Programming,115,32.582608695652176,4.182608695652174
Naturallanguageprocessing,114,41.42982456140351,5.307017543859649
Visualization,113,41.415929203539825,5.070796460176991
Algorithms,113,39.690265486725664,5.530973451327434
Database,109,31.110091743119266,4.440366972477064
Web Scraping,105,28.152380952380952,5.0095238095238095
Jupyter Notebook,103,61.00970873786408,4.475728155339806
Linear Regression,103,68.1747572815534,5.203883495145631
Travel,103,2.563106796116505,2.2135922330097086
Sql,98,60.3469387755102,4.714285714285714
Data Mining,97,22.20618556701031,4.639175257731959
Learning,96,60.260416666666664,4.489583333333333
Udacity,95,6.8,6.136842105263158
Science,94,87.57446808510639,6.0638297872340425
Python3,93,39.505376344086024,4.075268817204301
Exploratory Data Analysis,91,30.494505494505493,6.010989010989011
Kaggle,90,59.24444444444445,6.644444444444445
Careers,89,61.31460674157304,5.348314606741573
Classification,88,29.977272727272727,5.806818181818182
AWS,84,33.07142857142857,4.476190476190476
Coding,82,89.5,5.085365853658536
Advice,82,3.9390243902439024,1.5121951219512195
Startup,79,62.151898734177216,5.341772151898734
Big Data Analytics,79,17.455696202531644,4.430379746835443
Health,78,73.88461538461539,5.256410256410256
Analysis,78,28.794871794871796,5.269230769230769
Tutorial,75,72.16,4.88
Healthcare,75,58.306666666666665,5.733333333333333
Data Science Courses,72,6.583333333333333,3.263888888888889
TensorFlow,71,40.014084507042256,5.014084507042254
Marketing,70,34.385714285714286,5.185714285714286
Finance,70,44.714285714285715,5.171428571428572
Clustering,69,26.579710144927535,6.405797101449275
Regression,67,18.597014925373134,5.626865671641791
Tableau,67,32.97014925373134,5.3283582089552235
Interview,66,66.24242424242425,6.151515151515151
Ciencia De Dados,66,44.24242424242424,5.818181818181818
Engineering,63,108.14285714285714,5.190476190476191
Pytorch,63,86.42857142857143,5.873015873015873
Udacity Nanodegree,62,5.741935483870968,7.0
Politics,60,30.016666666666666,5.716666666666667
Spark,59,46.20338983050848,5.745762711864407
Blockchain,57,66.36842105263158,5.280701754385965
Economics,57,63.40350877192982,6.456140350877193
Tech,56,56.767857142857146,4.767857142857143
Predictive Analytics,55,45.14545454545455,6.3090909090909095
Logistic Regression,55,30.745454545454546,6.0
Cloud Computing,55,37.10909090909091,5.2
Adventure,55,0.0,0.9454545454545454
Feature Engineering,54,149.33333333333334,5.685185185185185
Beginner,54,57.27777777777778,4.185185185185185
Research,54,147.24074074074073,5.555555555555555
Data Cleaning,53,16.62264150943396,5.320754716981132
Unsupervised Learning,53,27.264150943396228,6.0
Women In Tech,53,533.2452830188679,4.30188679245283
Leadership,52,128.73076923076923,5.346153846153846
Software Engineering,52,284.40384615384613,5.076923076923077
Intelligence Artificielle,52,0.15384615384615385,1.5384615384615385
Time Series Analysis,51,21.294117647058822,5.745098039215686
Probability,51,33.549019607843135,5.588235294117647
Astronomy,51,10.686274509803921,1.3137254901960784
Numpy,50,35.86,4.76
Career Advice,50,291.3,6.16
