,word,occurrence
0,data,2966
1,science,1198
2,learning,1007
3,machine,785
4,python,723
5,strong,706
6,covid,566
7,analysis,403
8,part,392
9,black,263
10,magic,257
11,analytics,246
12,model,206
13,scientist,202
14,regression,174
15,specialist,160
16,deep,156
17,introduction,154
18,best,147
19,guide,137
20,world,136
21,intelligence,136
22,neural,127
23,artificial,124
24,classification,119
25,linear,118
26,business,117
27,visualization,114
28,project,112
29,learn,111
30,know,103
31,real,103
32,understanding,100
33,expert,96
34,prediction,95
35,time,90
36,need,90
37,building,88
38,detection,83
39,language,82
40,series,81
41,first,80
42,customer,75
43,canada,75
44,famous,75
45,career,74
46,feature,73
47,image,73
48,engineering,72
49,clustering,71
50,algorithm,71
51,network,70
52,statistics,70
53,exploratory,69
54,scraping,68
55,simple,68
56,para,67
57,make,66
58,code,65
59,journey,65
60,york,65
61,build,64
62,getting,64
63,future,64
64,market,62
65,love,61
66,cloud,60
67,training,59
68,case,58
69,industry,55
70,help,55
71,interview,55
72,course,55
73,news,54
74,basic,54
75,astrologer,53
76,predict,52
77,week,51
78,logistic,51
79,create,51
80,study,51
81,system,50
82,easy,49
83,price,49
84,exploring,49
85,important,48
86,modeling,48
87,free,48
88,approach,47
89,pandemic,47
90,become,45
91,better,45
92,testing,44
93,power,44
94,problem,44
95,work,44
96,ways,44
97,research,44
98,spark,44
99,impact,43
100,start,43
101,notebook,43
102,text,42
103,segmentation,42
104,open,42
105,analyst,42
106,decision,41
107,story,41
108,team,41
109,span,41
110,marketing,41
111,natural,40
112,mining,40
113,step,40
114,review,40
115,virtual,40
116,forecasting,39
117,metrics,38
118,performance,38
119,boston,37
120,scratch,37
121,twitter,37
122,look,37
123,social,37
124,search,36
125,capstone,36
126,based,36
127,classifier,36
128,technology,35
129,used,35
130,random,35
131,strategy,34
132,platform,34
133,sentiment,34
134,dont,34
135,churn,33
136,process,33
137,design,33
138,tableau,33
139,graph,33
140,recognition,32
141,bias,32
142,object,32
143,life,32
144,good,32
145,value,32
146,challenge,32
147,function,32
148,making,32
149,predictive,32
150,experience,32
151,role,32
152,marriage,32
153,statistical,31
154,next,31
155,dashboard,31
156,without,31
157,program,31
158,behind,31
159,tech,31
160,different,31
161,really,31
162,development,31
163,computer,31
164,whats,31
165,application,31
166,pipeline,31
167,face,30
168,house,30
169,want,30
170,like,30
171,corona,30
172,tutorial,29
173,brief,29
174,financial,29
175,weekly,28
176,finding,28
177,people,28
178,library,28
179,gradient,28
180,zero,27
181,dive,27
182,hypothesis,27
183,company,27
184,veri,27
185,digital,27
186,find,27
187,apache,27
188,right,27
189,recommender,26
190,probability,26
191,management,26
192,path,26
193,product,26
194,practical,26
195,back,26
196,growth,26
197,global,26
198,paper,26
199,beyond,26
200,vector,25
201,information,25
202,choose,25
203,health,25
204,perspective,25
205,risk,25
206,engineer,25
207,solution,24
208,support,24
209,complete,24
210,overview,24
211,every,24
212,update,24
213,quality,24
214,rate,24
215,improve,24
216,importance,24
217,removal,24
218,production,24
219,deploy,24
220,crisis,24
221,contact,24
222,implementation,23
223,handling,23
224,forest,23
225,stock,23
226,common,23
227,book,23
228,popular,23
229,developer,23
230,turkey,23
231,spell,23
232,read,22
233,disease,22
234,offer,22
235,advanced,22
236,excel,22
237,understand,22
238,music,22
239,today,22
240,everything,22
241,tool,22
242,difference,22
243,virus,22
244,word,22
245,recommendation,22
246,mathematics,22
247,azure,22
248,matrix,21
249,engine,21
250,unsupervised,21
251,tree,21
252,test,21
253,missing,21
254,studio,21
255,success,21
256,reinforcement,21
257,vision,21
258,city,21
259,much,21
260,exploration,21
261,quick,21
262,three,21
263,optimization,20
264,naive,20
265,level,20
266,cleaning,20
267,made,20
268,demand,20
269,media,20
270,must,20
271,privacy,20
272,small,20
273,effective,20
274,easily,20
275,times,20
276,correlation,19
277,visual,19
278,interactive,19
279,selection,19
280,scale,19
281,learned,19
282,environment,19
283,mean,19
284,categorical,19
285,spread,19
286,architecture,19
287,descent,19
288,change,19
289,battle,19
290,outbreak,19
291,driven,18
292,chart,18
293,towards,18
294,docker,18
295,smart,18
296,survey,18
297,curve,18
298,great,18
299,working,18
